GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",2441,153,949,166,691,181,1492,218,6.4,3.8,4.0,6.2,5.5,8.3,8.0,4.6,10.4,4.7,7.7,9.0,8.2,11.7,12.1,6.4,7.7,4.2,8.5,5.6,5.6,6.1,8.0,6.1,12.4,4.9,22.6,11.3,19.0,15.2,8.5,5.2,11.1,6.2,12.3,10.3,0.0,5.3,11.3,7.7,8.5,4.4,9.0,6.6,12.3,9.1,8.2,6.5,8.6,5.1,12.9,9.2,17.7,12.2,6.0,5.3,13.0,5.4,7.1,6.1,9.7,8.5,15.0,7.3,11.6,5.2,4.1,3.7,5.6,5.2,13.8,7.6,10.2,4.3,11.9,7.5,16.4,10.4,9.2,5.7,63785,24743,45083,28528,74830,17017,63462,25752,85496,12132,74091,16868,N,N,87559,17153,30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.5,(X)
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",1797,103,719,112,415,100,1078,140,3.5,2.0,5.7,6.0,5.3,6.1,3.7,2.8,5.4,3.3,5.3,6.3,6.5,9.4,5.5,3.6,9.9,5.2,5.7,5.0,5.5,6.4,12.7,7.8,9.9,4.4,7.1,6.0,1.4,3.0,13.2,6.2,15.6,4.7,19.6,9.1,7.7,6.5,15.9,6.5,21.0,6.4,21.1,10.9,21.7,12.2,17.6,7.2,6.3,3.0,8.3,5.6,7.5,7.3,4.0,2.9,18.0,4.9,20.3,8.9,32.5,13.8,14.7,5.7,5.5,3.5,2.5,4.1,4.3,7.0,7.5,5.2,4.8,2.5,4.3,3.1,7.5,5.3,5.2,3.8,56212,5049,57243,8385,86339,49142,47202,9578,80996,14029,71803,11162,N,N,83874,22734,29.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.8,(X)
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",1757,100,738,117,579,96,1019,121,2.3,1.6,1.4,2.1,0.0,6.3,3.0,2.3,4.3,3.1,2.0,3.3,2.6,4.3,6.0,4.2,10.1,5.0,9.3,7.8,6.9,6.7,10.6,7.3,5.4,3.0,5.8,4.9,2.6,3.3,6.8,4.4,9.0,4.5,11.4,7.5,10.5,7.6,7.4,5.2,10.6,4.3,4.6,3.7,4.5,4.3,13.2,6.0,15.8,5.9,14.0,6.9,13.5,8.5,17.2,8.0,13.0,6.1,14.9,9.3,18.0,11.5,11.6,6.9,10.0,3.6,9.3,5.6,8.8,5.8,10.5,5.3,19.4,5.9,27.2,10.2,32.6,12.2,13.7,6.4,85275,10082,101058,25228,115417,52983,79960,16070,127026,19484,153624,36293,N,N,107277,16110,28.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.5,(X)
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",579,62,310,64,136,49,269,84,0.0,6.3,0.0,11.4,0.0,23.8,0.0,13.0,2.4,2.6,1.9,2.7,0.0,23.8,3.0,4.9,13.0,12.5,23.5,19.3,17.6,21.7,5.6,6.0,8.1,8.1,18.7,18.7,8.1,11.8,3.7,6.0,21.1,9.8,18.1,12.7,13.2,17.5,16.7,17.0,17.3,7.7,11.6,9.0,9.6,11.1,19.0,12.7,3.6,3.5,0.0,11.4,0.0,23.8,7.8,7.9,12.3,9.0,7.4,8.7,16.9,17.2,17.8,17.2,16.9,11.3,11.9,9.4,19.1,17.6,22.7,20.1,5.4,3.9,6.8,6.5,15.4,14.1,3.7,4.7,55505,10979,39375,17000,102955,90544,92614,63021,94483,22057,76017,24859,N,N,113405,35787,31.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.0,(X)
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",1542,89,790,115,441,104,752,124,5.6,3.9,4.8,4.7,3.9,6.4,9.2,8.2,0.3,0.5,0.5,1.0,0.9,1.7,0.0,4.9,7.7,4.2,11.4,7.4,7.5,7.8,12.4,7.6,12.4,4.9,15.8,8.0,11.8,8.4,5.5,3.9,8.4,5.0,15.6,7.8,13.8,10.6,4.1,3.5,18.4,6.2,18.4,9.5,24.3,14.1,11.7,7.3,18.6,6.8,10.3,6.4,7.9,7.2,23.8,11.0,15.0,5.9,9.7,6.8,11.1,10.2,19.7,9.0,4.9,2.7,7.3,5.1,8.8,6.9,2.3,2.6,8.8,4.2,6.2,5.4,10.0,9.0,11.4,7.4,72941,14636,55625,20281,64081,12220,82857,14267,85856,9227,73016,11385,N,N,92516,18373,34.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",1376,90,715,122,462,131,661,96,4.7,3.2,6.3,7.2,0.0,7.8,7.1,6.1,4.2,3.6,5.3,6.5,8.2,9.8,3.0,3.5,9.7,4.2,8.8,4.6,7.4,6.4,10.7,7.8,11.0,5.6,8.0,6.0,7.4,6.0,10.3,8.1,9.4,5.8,12.2,9.0,8.7,10.9,9.1,6.4,20.1,7.5,27.6,13.3,29.7,18.6,17.9,9.0,10.8,5.3,9.7,8.0,10.8,12.1,12.0,7.2,17.5,5.8,12.0,7.4,16.2,11.1,14.8,9.3,4.7,3.3,4.5,4.4,4.8,5.9,5.0,4.4,7.8,5.0,5.7,4.4,6.9,5.8,10.1,9.5,61875,7786,57281,10612,62279,17976,59904,11921,82878,10198,76849,14130,N,N,81865,16912,41.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),53.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X)
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",837,38,496,121,331,102,341,128,3.8,4.9,6.0,8.1,0.0,10.7,0.6,1.4,5.4,4.7,12.9,9.5,0.0,10.7,2.9,3.9,5.0,3.3,5.8,6.1,0.0,10.7,3.8,5.1,5.4,3.6,2.4,2.9,2.7,3.8,5.0,4.5,19.1,12.1,11.1,7.9,15.1,11.6,27.0,21.6,8.8,5.8,10.9,7.6,10.6,9.3,8.2,10.4,20.4,8.5,15.7,10.2,20.5,14.8,27.3,15.0,12.2,6.8,15.3,9.4,21.5,13.6,6.5,5.6,14.8,6.8,14.7,9.8,22.1,13.1,13.8,10.3,5.0,3.5,5.0,5.1,7.6,7.7,5.0,4.8,76507,9357,75625,15839,101750,39897,76181,15049,88712,12126,87793,18681,N,N,86104,18420,40.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),55.1,(X)
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",1062,68,604,98,321,93,458,96,1.8,2.4,0.0,6.0,0.0,11.0,4.1,5.5,7.4,6.3,1.3,2.1,2.5,4.1,15.5,12.9,6.6,3.8,15.9,10.9,1.9,3.2,5.5,3.6,4.0,3.6,5.8,5.5,5.9,8.2,1.7,2.6,16.7,8.1,18.9,10.6,14.3,17.1,18.6,11.5,19.9,9.3,13.9,8.8,4.0,4.8,16.4,11.1,14.2,6.4,18.9,8.6,26.2,16.8,9.6,7.9,14.9,7.8,14.7,9.6,25.2,17.3,10.5,8.7,11.4,6.3,7.8,6.1,14.6,10.5,16.2,11.5,3.1,3.2,2.8,3.6,5.3,6.6,2.0,3.0,64439,11401,64808,21223,92721,14815,51810,26344,82892,11149,79563,15234,N,N,76498,19678,37.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
