GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",2435,173,949,184,614,210,1486,198,4.7,3.3,8.9,8.7,5.5,8.4,5.5,4.2,11.0,5.0,6.5,8.0,7.3,11.2,13.9,6.8,8.9,4.5,11.1,6.7,9.4,10.5,5.2,3.9,12.0,4.7,24.6,11.2,25.6,13.7,6.3,4.6,13.8,6.3,15.3,10.8,0.0,5.9,13.9,8.4,10.1,5.6,4.3,5.1,6.7,7.6,12.7,7.9,7.9,5.1,11.8,10.7,18.2,16.1,5.5,4.0,11.1,4.6,5.2,5.7,8.0,9.4,13.8,6.4,11.1,5.3,3.8,4.0,5.9,6.2,13.5,7.7,9.4,5.3,8.6,6.8,13.4,10.9,9.9,7.0,49661,17275,34568,6600,64412,69629,61458,14038,82836,12307,60963,16293,N,N,91908,18747,32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.1,(X)
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",1808,112,726,109,405,89,1082,143,2.5,1.9,4.8,5.6,2.7,4.5,3.2,2.4,6.6,3.6,2.1,3.4,0.0,8.8,9.6,6.0,11.9,5.7,10.5,7.3,14.1,12.2,12.9,7.6,11.9,5.3,9.2,6.5,5.2,5.6,14.6,8.4,14.5,5.5,12.7,7.9,2.7,4.0,17.3,7.3,17.8,5.9,22.6,11.6,24.9,14.2,13.1,6.6,7.2,3.6,12.1,7.3,6.9,5.4,2.9,2.6,16.5,5.3,20.5,9.9,33.6,16.1,11.6,5.8,7.1,3.4,2.5,3.5,4.4,6.4,10.3,5.4,3.9,2.6,3.0,2.8,5.4,5.0,4.5,4.2,53625,9381,57036,9873,85250,61480,43542,7112,79136,13745,69909,11041,N,N,82141,23232,26.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.5,(X)
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",1725,87,663,135,514,126,1062,155,5.6,3.7,1.8,2.8,0.0,7.0,7.9,5.9,2.5,1.8,0.8,1.8,1.0,2.3,3.6,2.8,9.6,5.5,10.0,8.5,6.6,5.6,9.3,6.8,4.2,2.3,6.5,4.8,6.0,6.1,3.8,3.1,11.7,5.0,15.8,9.1,15.2,10.9,9.0,6.1,9.6,3.6,6.8,5.5,4.1,5.0,10.6,4.9,14.7,5.9,15.1,10.4,18.1,12.3,14.5,6.7,9.9,5.8,10.0,10.7,12.8,13.6,9.8,6.0,12.3,4.1,13.1,7.3,12.8,8.6,11.4,5.7,20.1,6.0,20.2,8.1,23.3,10.2,20.1,8.1,82679,16277,86705,28981,99643,55149,79921,13110,128392,20573,137454,35193,N,N,122051,22813,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.2,(X)
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",589,59,338,87,218,79,251,83,1.5,2.3,0.0,10.5,0.0,15.7,3.6,5.5,5.1,5.6,5.3,7.9,0.0,15.7,4.8,7.7,11.5,13.6,18.3,22.5,19.3,23.1,2.4,4.2,2.4,3.9,0.0,10.5,0.0,15.7,5.6,8.9,21.9,12.5,22.8,13.8,21.1,12.6,20.7,20.7,8.1,7.9,11.8,13.0,4.6,6.7,3.2,5.5,10.9,8.2,11.8,12.6,18.3,17.1,17.5,15.5,11.4,7.8,13.9,10.2,21.6,14.3,13.9,15.1,17.8,11.4,6.2,9.7,0.0,15.7,25.5,21.6,9.3,5.5,9.8,7.7,15.1,12.0,2.8,4.2,69125,42819,51000,33105,76375,38581,96583,47730,99187,21532,79778,20864,N,N,110751,32580,26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.0,(X)
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",1590,70,820,119,474,116,770,118,4.1,3.7,3.5,4.0,3.6,5.7,6.2,6.9,0.4,0.6,0.7,1.2,1.3,2.1,0.0,4.7,7.5,4.3,12.2,7.1,8.2,8.9,11.3,7.7,12.6,5.2,17.8,8.6,12.4,9.7,5.3,4.0,9.1,4.6,14.8,8.8,10.8,9.5,5.6,3.8,18.6,5.4,19.3,8.5,23.4,12.7,12.5,8.0,18.6,5.9,14.0,7.1,19.4,11.4,18.4,9.7,16.6,6.2,8.8,5.6,11.0,8.4,24.2,10.5,7.1,3.5,5.6,4.6,5.5,5.5,8.7,5.9,5.5,3.2,3.3,3.4,4.4,5.3,7.8,6.0,73349,10340,51667,21224,64052,18130,89167,9434,81830,8789,65760,10926,N,N,92197,15618,34.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.9,(X)
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",1347,105,645,120,429,107,702,112,4.5,3.5,3.1,3.6,0.0,8.4,5.7,5.3,3.4,3.3,4.7,6.4,7.0,9.2,2.3,3.1,14.8,6.7,13.6,8.4,7.7,6.9,15.8,10.1,10.6,5.6,13.5,9.7,10.7,9.7,8.0,6.6,9.6,5.1,10.5,9.0,7.7,9.5,12.0,7.5,22.6,8.2,23.4,11.0,26.8,15.6,23.1,11.2,8.1,4.7,9.5,7.7,11.9,10.7,8.8,6.9,10.3,5.5,8.2,6.2,9.8,8.2,5.8,4.6,6.5,4.7,8.2,8.0,12.4,11.9,5.0,4.6,9.6,6.2,5.3,4.3,6.1,5.7,13.5,11.4,56446,7327,52107,13003,59688,28995,56667,9815,83071,13839,76647,17680,N,N,85533,24670,39.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.6,(X)
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",828,55,522,105,382,95,306,103,2.3,2.5,8.2,7.6,0.0,9.3,0.0,11.5,2.2,2.4,1.3,2.2,0.0,9.3,3.6,5.4,11.8,6.8,9.8,8.7,6.0,8.0,7.5,6.9,9.9,8.5,2.1,2.8,2.9,3.8,23.2,18.2,11.1,8.0,15.9,11.9,19.6,15.6,2.9,4.3,15.7,7.5,19.3,10.0,22.5,13.6,9.5,11.2,24.9,10.1,22.6,13.7,23.0,17.6,28.8,16.0,12.4,6.2,11.3,8.3,13.1,10.4,14.4,10.9,6.9,4.9,6.5,7.9,8.9,10.7,7.5,5.9,2.8,2.5,2.9,3.1,3.9,4.2,2.6,3.8,73821,9618,68846,17134,74655,10053,76667,8591,76590,8836,73497,12544,N,N,80726,17446,34.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.2,(X)
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",1097,70,601,97,393,90,496,102,1.8,2.4,0.0,6.0,0.0,9.1,4.0,5.2,7.0,5.9,0.0,6.0,0.0,9.1,15.5,12.2,7.2,3.8,12.6,7.7,3.3,3.8,4.2,3.3,5.7,4.5,7.5,7.4,7.6,8.6,3.4,4.1,16.7,7.6,16.0,11.3,9.4,12.9,17.5,10.6,15.8,6.2,19.8,10.6,15.0,10.4,12.7,8.8,12.5,6.1,12.8,7.2,19.6,11.1,12.1,8.3,19.1,8.5,17.6,8.4,24.2,12.8,15.3,10.7,10.6,5.5,10.0,7.1,15.3,10.1,11.3,9.1,3.7,2.8,3.7,4.3,5.6,6.4,3.8,4.5,71182,11300,71477,7869,90063,15940,68125,27964,85751,12258,85905,16207,N,N,80198,18472,28.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.0,(X)
