GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",2500,150,963,178,678,196,1537,198,4.2,3.4,9.6,9.7,5.6,8.6,4.4,4.3,10.8,5.6,5.5,8.5,7.8,11.7,14.1,7.3,12.4,5.1,10.3,6.6,12.4,9.3,11.0,6.2,9.0,4.2,19.2,9.5,20.1,14.6,5.7,4.4,10.8,5.6,18.0,11.9,4.7,7.6,11.6,6.8,11.0,4.7,5.5,5.0,7.8,6.7,12.8,6.7,13.1,5.9,11.0,7.8,15.6,11.2,10.2,6.0,13.8,5.1,6.3,6.1,5.2,5.6,17.4,7.1,7.9,4.5,3.4,2.9,4.9,3.9,8.3,5.7,7.1,3.0,11.2,6.8,15.9,9.9,4.6,3.2,56346,15678,42344,11204,42188,42407,58028,17102,77581,9698,65801,15266,N,N,78223,12289,33.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.4,(X)
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",1874,87,752,133,359,108,1122,144,3.7,2.4,4.8,5.3,3.6,6.0,5.0,3.5,6.6,4.2,1.5,2.4,0.0,10.5,10.1,6.5,14.6,6.8,11.4,8.0,16.2,12.6,16.7,9.7,10.8,5.7,15.0,9.3,9.2,8.2,9.4,7.3,15.4,5.7,19.0,12.2,8.1,11.3,14.0,6.8,20.8,7.6,21.5,12.5,24.5,16.2,19.1,8.2,7.6,3.1,9.8,5.9,7.8,7.7,2.9,2.5,13.1,4.7,12.9,8.8,25.6,17.1,13.2,6.0,4.5,3.8,1.6,2.3,0.0,10.5,6.5,6.1,2.9,2.5,2.4,3.2,5.0,6.7,3.2,3.6,47407,8728,46898,12092,54961,11689,43115,10077,71194,14737,60096,10378,N,N,75321,24334,18.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),15.2,(X)
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",1645,92,553,107,421,104,1092,136,6.6,4.0,2.4,3.5,0.0,9.1,8.8,5.9,1.8,1.7,1.3,2.1,1.7,2.8,2.0,2.3,8.1,4.2,8.3,6.6,10.9,8.8,8.0,5.5,5.0,2.9,9.9,8.3,10.2,10.0,3.7,2.9,12.9,6.2,24.4,13.5,20.9,16.1,7.1,6.1,10.7,4.1,10.7,7.5,8.1,7.2,10.1,4.8,18.5,5.8,15.0,10.3,17.8,13.1,20.2,7.9,7.4,4.1,0.0,7.0,0.0,9.1,11.1,6.1,11.4,6.3,10.8,6.8,12.4,8.4,11.1,8.6,17.7,6.3,17.2,11.2,18.1,12.5,17.9,6.7,77212,6923,57750,28203,58750,34997,82016,12707,118754,19615,118238,38866,N,N,118211,20102,25.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.6,(X)
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",622,47,368,79,276,71,254,80,1.1,2.1,3.5,5.4,0.0,13.5,2.8,5.2,0.0,6.2,0.0,10.3,0.0,13.5,0.0,14.5,7.9,6.9,9.8,10.5,5.4,8.7,0.0,14.5,1.9,3.3,0.0,10.3,0.0,13.5,4.7,7.8,25.7,12.3,23.6,14.3,22.8,16.6,28.7,20.4,12.4,7.9,14.9,11.8,13.8,12.7,8.7,9.1,15.4,9.0,18.5,13.7,24.6,17.7,18.5,15.0,8.0,6.3,12.2,10.5,16.3,14.0,4.7,7.6,16.2,9.6,8.2,9.6,4.7,7.0,20.5,17.8,11.3,7.2,9.2,9.1,12.3,12.0,11.4,12.1,88654,34472,74028,36305,92917,6510,91250,41919,102909,18992,86841,18764,N,N,115252,37605,38.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.1,(X)
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",1513,100,761,121,460,118,752,129,1.9,2.3,0.0,5.1,0.0,8.3,3.7,4.7,0.0,2.6,0.0,5.1,0.0,8.3,0.0,5.2,8.0,3.8,11.3,8.9,10.4,9.3,10.0,5.6,12.6,5.0,21.3,8.6,16.3,9.8,5.1,3.9,13.2,5.1,16.0,8.8,10.4,9.9,12.2,6.0,21.5,6.8,21.0,8.7,28.9,12.6,18.2,9.4,14.3,6.0,8.0,5.6,10.0,8.8,16.8,9.1,13.3,5.4,10.1,6.2,12.6,8.8,15.7,7.6,11.4,4.8,10.0,5.3,7.6,5.9,12.9,8.1,3.8,3.0,2.2,2.8,3.7,4.7,5.5,5.6,68911,11907,53047,22453,62155,15887,80938,21055,81127,9198,69283,11512,N,N,88126,14063,37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X)
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",1423,102,681,133,460,119,742,138,5.9,4.5,7.2,8.1,0.0,8.3,4.7,4.3,3.1,3.2,4.0,6.0,5.9,8.9,2.3,2.8,14.8,6.7,11.3,7.4,7.6,7.5,17.9,10.7,10.7,6.4,16.0,11.1,10.2,10.3,7.1,7.1,15.0,5.9,17.8,9.8,21.7,13.1,12.5,7.5,21.9,7.4,20.0,10.7,24.1,14.8,23.6,11.4,7.0,4.7,8.1,6.6,7.2,8.5,7.3,7.0,6.9,3.7,6.2,4.9,9.1,7.2,5.0,4.7,8.5,4.9,7.9,6.4,11.7,9.5,9.0,7.2,6.3,5.2,1.6,2.5,2.4,3.7,10.5,9.5,50493,6150,48313,10137,52019,8308,53873,12641,75614,15819,60648,12374,N,N,88096,26481,33.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.5,(X)
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",884,43,548,115,344,101,336,107,1.2,2.0,7.3,8.7,0.0,11.0,0.0,11.2,5.5,5.0,6.8,7.0,0.0,11.0,3.6,5.6,10.4,8.0,7.8,8.9,3.8,6.0,6.0,8.2,13.7,9.4,7.8,9.9,12.5,15.1,23.2,16.0,10.7,6.5,16.4,9.9,11.6,10.0,1.5,3.0,21.3,11.9,25.7,15.6,37.2,20.8,14.0,15.0,19.1,9.1,11.3,7.7,11.9,9.5,31.8,20.0,11.3,6.7,10.0,8.1,12.2,11.3,13.4,12.7,4.9,4.4,3.8,6.3,6.1,10.2,6.5,6.1,1.8,2.3,2.9,3.6,4.7,5.8,0.0,11.2,70714,24399,53824,19142,72054,7776,75417,4077,69700,10313,65260,13101,N,N,75724,17151,36.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.4,(X)
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",1146,71,664,104,455,108,482,95,0.8,1.3,0.0,5.8,0.0,8.4,1.9,3.0,5.9,4.8,1.8,2.8,0.0,8.4,11.6,10.5,4.6,3.4,11.9,7.2,1.8,2.9,2.7,3.4,8.7,6.8,8.7,9.7,10.3,12.7,8.7,7.8,20.2,8.9,22.1,12.4,18.2,16.4,11.6,9.7,15.6,7.2,14.8,10.4,12.3,9.8,19.9,10.1,12.0,5.2,10.1,7.0,14.7,10.7,14.7,8.0,16.3,7.9,13.1,7.6,17.1,11.4,15.6,13.6,9.9,4.5,8.7,6.1,12.7,8.8,11.4,7.8,5.8,4.1,8.7,6.5,12.7,9.3,1.9,3.1,67368,13834,67988,19015,84417,19163,66316,18561,88415,14283,92299,19941,N,N,77796,15514,20.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),20.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.7,(X)
