GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
0500000US06075,06075,"San Francisco County, California",789172,*****,673097,*****,332062,453,47867,733,2092,302,263278,1085,3259,155,2817,560,21722,1298,783,217,20939,1318,116075,*****,74812,2326,1204,326,1902,498,1431,437,7,12,30414,2028,6305,841,3192,559,3113,592
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",6813,851,3020,414,2103,373,154,122,13,18,611,286,0,132,37,59,102,74,0,132,102,74,3793,772,2571,734,46,60,58,70,0,132,0,132,1087,463,31,36,31,36,0,132
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",4905,466,2511,407,1846,371,15,25,5,10,573,240,0,132,11,16,61,58,0,132,61,58,2394,467,2028,446,0,132,19,27,0,132,0,132,347,251,0,132,0,132,0,132
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",4558,561,2743,471,2059,473,136,143,0,132,401,244,0,132,35,41,112,83,0,132,112,83,1815,544,1406,601,0,132,0,132,10,15,0,132,399,240,0,132,0,132,0,132
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",2137,249,1371,263,808,191,35,31,17,28,480,156,0,132,0,132,31,36,0,132,31,36,766,225,489,216,0,132,105,160,12,24,0,132,147,135,13,22,13,22,0,132
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",4698,504,2005,310,1267,270,25,27,0,132,626,279,0,132,0,132,87,70,0,132,87,70,2693,547,1917,553,22,35,7,13,14,17,0,132,610,275,123,80,102,71,21,32
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",4079,391,2169,345,1302,321,240,122,0,132,592,293,0,132,0,132,35,31,0,132,35,31,1910,431,1520,454,59,56,0,132,26,41,0,132,234,174,71,92,71,92,0,132
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",2769,381,907,232,484,151,115,130,0,132,263,158,0,132,0,132,45,66,0,132,45,66,1862,470,1458,477,8,13,0,132,0,132,0,132,253,201,143,111,46,52,97,97
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",3274,273,1677,146,1045,130,56,48,0,132,462,113,0,132,0,132,114,98,8,14,106,94,1597,286,1435,315,0,132,59,92,0,132,0,132,86,97,17,20,8,13,9,15
