GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
0500000US06075,06075,"San Francisco County, California",797983,*****,678954,*****,334808,429,47345,666,2064,271,265685,1225,3234,149,2895,522,22923,1367,790,240,22133,1310,119029,*****,74049,2478,1915,626,1669,553,1604,402,43,49,32477,2247,7272,854,3633,599,3639,538
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",6406,810,3069,504,2088,423,162,108,56,68,672,373,0,95,35,57,56,56,0,95,56,56,3337,842,2495,805,9,18,52,82,0,95,0,95,751,444,30,38,30,38,0,95
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",5002,426,2659,259,1813,249,0,95,6,10,755,184,0,95,6,11,79,55,8,13,71,53,2343,365,1858,424,20,32,18,28,0,95,0,95,412,232,35,33,7,11,28,31
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",4728,535,3154,416,2184,378,174,156,0,95,661,212,12,20,10,17,113,93,0,95,113,93,1574,520,1215,538,0,95,0,95,9,14,0,95,350,194,0,95,0,95,0,95
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",1859,199,1361,227,873,211,53,80,23,34,384,235,0,95,0,95,28,42,0,95,28,42,498,128,368,142,0,95,0,95,26,40,0,95,97,100,7,12,7,12,0,95
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",5019,477,2195,292,1488,259,52,43,0,95,543,272,0,95,0,95,112,68,0,95,112,68,2824,535,2043,504,62,70,7,11,15,18,0,95,595,334,102,85,78,68,24,40
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",3965,502,2119,353,1353,291,260,167,0,95,461,263,0,95,0,95,45,33,12,19,33,25,1846,532,1263,457,47,46,12,20,40,52,0,95,413,323,71,99,55,98,16,26
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",2617,308,1064,263,579,175,159,161,0,95,229,127,0,95,0,95,97,104,0,95,97,104,1553,406,1157,349,0,95,0,95,0,95,0,95,248,219,148,113,37,40,111,110
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",2981,309,1597,177,944,145,94,71,0,95,460,150,0,95,0,95,99,90,11,17,88,86,1384,301,1156,318,0,95,52,76,0,95,0,95,128,102,48,45,37,41,11,17
