GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",4564,751,1567,284,1354,469,861,203,391,261,391,196,3043,704,804,230,989,449,704,194,198,186,348,191,124,182,0,132,0,132,0,132,112,182,12,18,443,173,288,116,73,67,65,50,17,28,0,132,415,155,306,152,66,56,25,31,0,132,18,29,539,224,169,104,226,105,67,94,64,73,13,23
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",2981,386,1104,238,664,246,784,235,161,85,268,194,1997,352,519,183,443,233,676,235,161,85,198,147,25,29,25,29,0,132,0,132,0,132,0,132,265,127,150,75,64,74,22,26,0,132,29,48,405,148,305,143,45,44,48,46,0,132,7,11,289,130,105,79,112,78,38,60,0,132,34,54
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",3201,635,1296,225,460,123,546,199,682,620,217,127,2440,651,876,190,314,120,454,195,617,617,179,135,85,57,51,43,0,132,0,132,14,23,20,33,153,89,104,76,12,19,29,31,0,132,8,11,189,82,118,59,26,32,18,28,17,28,10,17,334,113,147,70,108,77,45,35,34,33,0,132
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",1158,168,480,174,198,100,295,119,72,65,113,56,783,165,262,116,94,97,273,120,72,65,82,45,31,35,0,132,0,132,0,132,0,132,31,35,91,55,69,47,22,30,0,132,0,132,0,132,212,90,136,82,54,43,22,27,0,132,0,132,41,41,13,20,28,35,0,132,0,132,0,132
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",3120,447,891,217,1116,339,639,161,227,131,247,131,2223,434,361,128,881,329,529,152,205,140,247,131,0,132,0,132,0,132,0,132,0,132,0,132,287,105,233,107,20,27,34,28,0,132,0,132,271,107,203,91,57,55,11,22,0,132,0,132,339,126,94,53,158,99,65,52,22,38,0,132
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",2437,345,912,236,590,150,521,176,163,114,251,115,1738,317,530,211,477,139,475,177,38,36,218,113,11,17,11,17,0,132,0,132,0,132,0,132,150,88,96,68,30,49,24,26,0,132,0,132,252,120,205,111,30,34,9,14,0,132,8,13,286,163,70,55,53,56,13,20,125,110,25,38
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",1529,206,469,149,446,205,334,160,145,89,135,92,898,253,146,78,336,194,171,105,122,87,123,88,56,76,31,40,2,8,0,132,23,37,0,132,286,167,130,94,28,43,128,136,0,132,0,132,217,103,115,69,76,65,14,18,0,132,12,21,72,75,47,44,4,7,21,36,0,132,0,132
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",1860,261,831,170,464,229,338,145,97,60,130,84,1270,276,460,118,336,220,282,138,62,57,130,84,11,20,11,20,0,132,0,132,0,132,0,132,301,153,176,102,76,69,38,40,11,17,0,132,239,93,165,73,32,40,18,18,24,27,0,132,39,32,19,21,20,24,0,132,0,132,0,132
