GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",6900,693,4074,646,158,92,93,83,52,45,26,35,17,24,38,35,21,23,145,90,841,387,968,374,553,190,280,129,179,76,250,133,146,90,11,17,39,55,45,42,42,47,50,43,32,38,88,72,0,132,2826,396,176,120,183,85,163,112,42,58,29,33,0,132,24,33,125,146,353,165,569,191,301,107,110,91,204,114,76,67,115,93,39,44,0,132,40,39,67,49,80,61,68,60,0,132,62,68
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",5087,485,2314,377,80,86,167,103,60,44,56,49,64,69,0,132,0,132,97,79,430,194,484,197,185,108,165,80,226,104,102,64,41,42,23,27,0,132,63,58,12,20,0,132,4,9,0,132,55,34,2773,379,151,97,82,57,77,57,114,82,0,132,83,76,0,132,124,73,517,207,544,165,134,79,205,96,179,88,163,76,51,37,12,21,9,19,23,27,43,55,51,49,88,50,83,44,40,55
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",4779,585,2926,613,233,103,186,124,62,45,54,51,38,41,119,117,26,42,250,142,422,249,359,144,354,175,286,126,168,74,117,55,41,32,44,38,22,23,22,24,11,17,45,35,43,28,11,18,13,20,1853,257,76,51,96,60,64,43,72,45,0,132,9,14,45,36,47,36,400,184,318,155,234,83,127,72,47,42,57,46,120,63,8,14,22,27,33,28,20,22,12,18,23,24,11,17,12,19
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",2319,296,1286,223,13,21,19,28,18,19,38,43,0,132,0,132,0,132,32,33,143,85,203,98,162,61,74,50,76,46,52,28,61,41,56,72,171,114,11,16,0,132,17,28,21,25,40,53,79,88,1033,177,17,25,28,39,47,68,22,30,53,46,0,132,13,20,50,42,106,79,105,67,137,110,74,37,91,50,29,33,42,36,69,48,17,28,6,10,17,28,3,18,22,25,41,44,44,48
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",4747,424,2734,349,196,92,94,55,48,37,0,132,55,40,20,16,22,24,159,98,563,223,360,118,339,120,229,141,126,68,50,41,190,143,17,20,46,37,83,54,37,30,28,20,0,132,72,49,0,132,2013,244,162,72,58,54,91,45,44,34,21,34,17,24,0,132,78,55,303,123,270,94,146,59,90,57,160,77,105,71,93,52,11,19,66,59,27,25,23,28,27,34,67,55,77,74,77,59
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",4519,466,2397,403,163,104,63,45,50,40,102,76,110,101,6,11,80,84,66,63,245,117,502,315,281,140,330,101,66,45,8,12,81,56,34,54,6,12,33,31,0,132,27,31,132,86,12,19,0,132,2122,242,112,81,99,60,91,59,50,63,77,68,28,33,33,42,50,38,343,156,277,139,144,82,226,91,125,80,86,49,170,102,48,44,48,61,24,23,27,30,34,54,30,22,0,132,0,132
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",2687,484,1289,259,192,105,55,54,110,72,9,14,7,11,0,132,0,132,197,98,74,61,84,69,158,90,76,44,100,69,81,76,16,18,0,132,8,14,0,132,49,45,12,20,38,35,23,32,0,132,1398,272,9,23,44,40,80,59,68,60,6,12,10,18,0,132,63,50,97,79,145,63,138,56,155,72,119,61,109,78,77,63,0,132,55,80,20,28,15,26,94,89,73,71,21,30,0,132
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",3226,376,1803,301,82,56,84,64,90,76,44,38,43,48,31,46,48,55,130,121,231,145,256,121,145,99,104,62,120,64,145,108,54,36,20,31,18,21,39,40,45,46,23,27,0,132,40,41,11,17,1423,246,20,33,81,68,99,76,56,56,29,19,28,33,0,132,157,126,84,60,220,112,110,50,195,94,50,40,142,85,40,38,12,19,0,132,12,25,14,17,32,43,0,132,17,30,25,22
