GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",6470,840,3743,716,90,85,94,79,0,18,81,61,43,63,24,42,97,81,434,312,897,315,260,150,348,141,399,148,375,134,250,126,103,88,30,31,9,16,14,22,30,60,0,18,69,44,67,48,29,48,2727,362,86,69,70,57,184,161,0,18,16,25,29,43,23,41,247,161,296,137,349,170,280,129,180,84,317,116,49,52,50,63,0,18,120,91,52,40,62,77,133,82,38,38,67,43,79,68
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",4944,421,2448,275,56,49,128,76,38,28,70,49,36,44,0,13,33,37,57,45,501,164,291,169,187,77,220,87,284,112,167,86,184,110,9,15,52,48,22,24,38,30,18,21,39,33,8,14,10,15,2496,314,156,104,48,34,73,45,35,44,32,34,64,68,0,13,194,105,438,176,292,104,211,113,168,73,210,97,175,73,107,48,37,44,8,12,41,30,55,42,57,39,39,29,26,24,30,35
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",4468,398,2584,350,149,68,129,77,148,82,125,84,45,40,31,41,36,42,137,93,169,79,371,130,259,88,326,103,230,95,137,63,69,43,43,58,0,13,0,13,27,25,72,40,51,35,30,29,0,13,1884,226,53,45,76,51,18,15,31,22,8,12,11,14,0,13,62,43,330,113,383,150,225,84,299,93,66,35,74,51,84,55,0,13,35,29,19,22,9,13,26,17,23,17,35,47,17,21
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",2072,347,943,237,47,50,59,62,16,24,46,53,7,13,5,10,0,13,68,77,39,39,177,78,119,75,52,39,50,55,29,30,95,92,12,15,35,36,0,13,30,26,9,15,39,33,8,15,1,3,1129,224,0,13,72,40,17,26,15,24,2,4,0,13,36,45,72,73,173,112,85,63,176,122,69,51,10,16,91,81,92,68,37,27,23,20,12,16,10,12,13,15,10,17,30,27,84,56
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",4876,442,2503,332,126,72,152,61,12,14,30,33,57,54,58,53,28,31,66,53,341,189,467,118,320,120,171,111,154,76,99,62,73,37,84,49,78,51,27,30,34,32,64,40,6,13,28,39,28,35,2373,241,129,66,68,53,74,44,36,32,75,55,115,123,8,14,106,83,314,132,457,136,213,95,135,60,144,84,98,68,109,50,41,37,49,45,43,40,5,12,45,35,16,18,42,49,51,41
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",4497,622,2620,458,281,119,118,75,57,57,68,62,142,108,0,13,43,47,121,71,247,113,411,150,206,91,349,132,112,67,92,56,97,67,48,53,51,44,6,9,0,13,0,13,127,70,28,33,16,24,1877,282,20,25,81,62,87,65,11,18,96,83,43,42,44,46,73,64,214,119,233,108,177,83,205,100,143,69,78,45,135,69,0,13,82,52,23,19,25,29,84,69,13,18,10,15,0,13
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",2507,294,1131,294,80,69,96,86,69,47,0,13,20,40,4,6,0,13,72,60,126,78,75,63,138,62,114,59,57,44,88,69,82,48,9,16,4,15,0,13,43,29,24,24,30,31,0,13,0,13,1376,155,11,21,29,36,109,83,36,33,17,24,5,11,0,13,74,64,300,219,108,58,113,39,138,58,86,50,91,64,54,50,37,31,58,47,22,21,11,16,28,29,31,34,18,19,0,13
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",2985,362,1502,285,71,54,80,59,31,33,52,44,7,13,0,13,17,27,109,70,148,112,212,92,253,106,95,52,139,78,80,82,93,61,11,18,10,15,0,13,25,24,20,24,7,10,34,31,8,14,1483,194,61,61,17,26,31,36,57,48,61,37,40,50,0,13,166,112,101,58,144,71,141,75,145,57,43,40,131,78,73,40,9,20,32,30,29,25,49,45,62,57,29,32,25,26,37,33
