GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",6813,851,4145,782,68,58,50,45,11,18,13,20,32,38,59,62,62,75,334,273,858,334,590,267,546,165,367,165,365,145,298,128,193,106,30,34,11,19,35,42,39,41,17,32,34,39,133,66,0,132,2668,310,109,103,114,82,267,182,63,83,44,54,0,132,21,35,108,107,328,138,451,168,341,139,84,66,159,95,33,35,96,73,43,46,50,62,48,48,50,45,105,72,78,65,0,132,76,82
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",4905,466,2049,311,64,66,148,98,43,37,76,58,88,92,0,132,2,14,35,41,377,182,351,164,160,93,154,86,243,112,76,53,74,50,19,21,12,19,71,64,13,20,2,11,5,8,0,132,36,49,2856,418,183,103,94,65,72,56,141,111,25,40,110,104,0,132,212,150,605,255,379,147,128,77,188,91,187,96,156,64,88,54,0,132,0,132,31,32,30,35,66,54,77,46,44,49,40,48
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",4558,561,2799,622,144,74,54,49,113,63,116,99,66,53,150,152,68,65,253,182,312,256,293,108,333,167,358,134,175,66,74,46,61,41,51,40,11,18,20,22,32,28,40,33,53,31,7,12,15,23,1759,343,29,27,96,78,20,29,48,57,0,132,12,19,12,19,130,76,335,176,208,104,234,134,229,91,53,41,94,76,116,77,10,16,29,32,41,30,18,20,13,22,18,20,8,13,6,11
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",2137,249,1030,217,6,14,49,52,12,20,13,21,0,132,0,132,0,132,41,40,72,64,139,86,114,71,95,56,107,60,66,41,68,45,44,57,98,69,18,27,0,132,11,18,41,32,36,38,0,132,1107,192,20,22,32,44,6,14,33,37,72,64,0,132,22,35,73,59,99,117,73,62,167,158,108,49,71,51,43,40,35,30,63,49,11,18,13,20,10,18,20,27,27,25,25,31,84,75
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",4698,504,2637,373,151,76,119,56,18,22,0,132,68,62,44,41,8,14,179,89,506,191,365,110,351,130,188,100,108,68,74,50,160,105,27,26,48,30,79,50,23,24,50,40,0,132,63,43,8,14,2061,294,170,81,69,61,73,40,46,36,80,68,40,57,0,132,105,82,233,90,374,111,144,66,104,57,116,61,129,79,86,52,23,36,56,55,42,31,16,25,10,16,38,35,42,49,65,49
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",4079,391,2148,356,127,72,88,51,44,41,71,65,134,120,0,132,51,57,76,76,196,82,472,219,154,75,294,102,72,47,65,43,86,65,33,50,27,31,22,24,0,132,31,36,92,70,13,19,0,132,1931,249,64,47,67,41,89,51,13,21,112,91,38,46,52,73,60,54,258,133,260,128,143,78,166,80,118,80,68,41,171,93,52,46,56,63,25,23,39,36,59,58,21,23,0,132,0,132
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",2769,381,1306,243,196,99,52,56,88,53,10,16,10,17,0,132,0,132,232,119,127,81,94,78,142,76,63,48,83,62,84,71,32,32,0,132,0,132,0,132,45,45,12,20,36,33,0,132,0,132,1463,218,15,24,49,44,85,67,54,55,12,20,14,23,0,132,145,114,171,124,132,74,136,63,110,63,112,66,84,79,76,62,38,47,66,70,14,21,24,27,63,62,63,65,0,132,0,132
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",3274,273,1774,262,100,77,130,81,40,46,65,49,45,46,31,45,51,51,182,121,205,128,238,110,140,84,71,55,169,77,129,85,41,33,12,19,21,24,25,27,31,38,11,16,0,132,28,34,9,14,1500,181,36,46,66,61,48,53,68,61,78,70,39,38,0,132,168,108,89,64,181,75,165,87,159,76,88,49,154,92,29,32,0,132,11,19,21,27,34,41,33,40,8,16,7,16,18,20
