GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",4392,736,1639,294,1201,457,791,221,442,322,319,163,3208,756,915,253,941,456,702,208,348,273,302,164,17,23,0,95,0,95,0,95,0,95,17,23,387,124,316,93,37,57,34,40,0,95,0,95,272,117,220,111,52,52,0,95,0,95,0,95,508,161,188,120,171,109,55,78,94,90,0,95
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",3092,388,1104,217,720,235,814,238,178,118,276,156,2091,313,560,135,485,208,669,245,178,118,199,130,21,24,21,24,0,95,0,95,0,95,0,95,233,106,110,52,56,65,25,24,0,95,42,50,359,141,224,142,40,41,89,60,0,95,6,12,388,152,189,111,139,98,31,48,0,95,29,44
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",3374,552,1426,232,446,136,616,192,588,484,298,131,2612,557,995,204,318,102,509,181,534,484,256,127,69,47,43,34,0,95,0,95,0,95,26,34,202,142,153,138,20,27,23,28,0,95,6,11,198,95,93,58,22,25,46,55,27,30,10,17,293,103,142,62,86,77,38,30,27,29,0,95
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",969,226,515,184,170,102,190,95,10,25,84,50,608,150,262,106,117,95,167,91,10,25,52,31,38,39,0,95,0,95,6,10,0,95,32,38,85,59,78,59,0,95,7,12,0,95,0,95,208,92,160,83,38,43,10,16,0,95,0,95,30,34,15,23,15,23,0,95,0,95,0,95
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",3425,388,1130,276,1211,325,638,185,220,154,226,120,2418,375,525,184,947,286,521,173,199,150,226,120,0,95,0,95,0,95,0,95,0,95,0,95,319,122,251,115,23,33,45,38,0,95,0,95,318,140,238,119,61,57,19,30,0,95,0,95,370,131,116,64,180,108,53,51,21,35,0,95
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",2335,354,853,174,700,194,397,119,171,133,214,111,1737,320,570,170,570,180,337,122,55,53,205,109,31,23,20,16,0,95,0,95,11,17,0,95,150,85,83,65,40,47,27,29,0,95,0,95,202,100,127,90,45,47,21,34,0,95,9,14,215,142,53,42,45,56,12,19,105,101,0,95
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",1419,211,454,126,447,194,274,174,113,74,131,86,746,239,170,90,290,176,81,67,98,75,107,79,32,40,17,22,4,11,0,95,11,18,0,95,269,182,78,59,44,46,147,166,0,95,0,95,265,105,129,71,97,68,15,20,0,95,24,30,107,89,60,47,12,15,31,43,4,6,0,95
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",1627,232,749,165,506,196,194,107,53,37,125,86,998,222,378,117,349,186,135,100,11,19,125,86,19,22,19,22,0,95,0,95,0,95,0,95,292,119,177,88,63,46,39,38,13,20,0,95,255,108,150,86,56,53,20,21,29,31,0,95,63,43,25,21,38,38,0,95,0,95,0,95
