GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",6813,851,4145,782,2668,310,5759,718,3451,628,2308,304,683,331,457,251,226,135,194,145,126,132,68,62,84,66,63,52,21,29,93,85,48,62,45,54
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",4789,469,2015,304,2774,419,4132,507,1726,295,2406,427,467,205,211,168,256,105,105,71,37,34,68,60,27,31,13,22,14,21,58,66,28,32,30,34
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",4538,557,2791,618,1747,342,3838,559,2545,620,1293,264,371,177,118,81,253,135,190,132,26,29,164,128,102,107,102,107,0,132,37,33,0,132,37,33
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",2117,253,1030,217,1087,186,1836,216,880,186,956,168,253,139,133,98,120,77,11,18,0,132,11,18,4,7,4,7,0,132,13,21,13,21,0,132
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",4648,511,2612,376,2036,290,4380,511,2444,367,1936,295,188,128,139,107,49,44,59,63,19,20,40,59,0,132,0,132,0,132,21,28,10,14,11,14
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",4033,384,2122,347,1911,253,3352,408,1775,339,1577,234,582,318,284,205,298,205,0,132,0,132,0,132,15,24,15,24,0,132,84,77,48,53,36,39
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",2662,376,1199,235,1463,218,2299,409,1020,220,1279,256,329,281,160,155,169,131,28,37,19,32,9,15,6,10,0,132,6,10,0,132,0,132,0,132
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",3257,274,1757,261,1500,181,2870,352,1488,304,1382,186,202,91,156,85,46,34,71,54,11,18,60,45,99,105,87,104,12,18,15,27,15,27,0,132
