GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",6470,840,3743,716,2727,362,5581,766,3214,589,2367,354,698,296,426,248,272,152,166,157,78,85,88,90,16,29,16,29,0,18,9,20,9,20,0,18
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",4863,426,2414,274,2449,312,4104,421,2019,267,2085,300,571,200,326,169,245,114,101,66,32,44,69,53,26,25,17,20,9,15,61,61,20,26,41,42
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",4439,393,2555,341,1884,226,3571,414,2106,349,1465,239,478,252,245,190,233,100,280,155,173,114,107,75,76,74,31,49,45,55,34,43,0,13,34,43
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",2072,347,943,237,1129,224,1749,331,751,218,998,223,212,108,91,58,121,80,90,109,88,109,2,6,13,16,13,16,0,13,8,12,0,13,8,12
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",4852,444,2503,332,2349,243,4486,447,2351,326,2135,228,187,99,120,70,67,51,132,138,18,21,114,135,28,35,14,18,14,18,19,31,0,13,19,31
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",4455,619,2590,457,1865,280,3870,628,2258,442,1612,278,465,233,242,170,223,135,84,70,78,72,6,9,12,19,12,19,0,13,24,27,0,13,24,27
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",2448,285,1072,273,1376,155,2028,299,824,257,1204,187,332,225,194,134,138,101,64,45,36,39,28,22,22,28,16,26,6,10,2,4,2,4,0,13
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",2961,352,1491,279,1470,195,2683,348,1335,280,1348,185,162,75,122,69,40,29,78,60,5,11,73,59,9,15,0,13,9,15,29,36,29,36,0,13
