GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",6900,693,4074,646,2826,396,5780,729,3538,639,2242,388,689,355,382,237,307,180,206,184,87,117,119,87,79,85,22,25,57,63,146,124,45,60,101,92
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",4972,500,2266,364,2706,383,4173,524,1832,300,2341,415,614,253,337,178,277,111,73,51,44,42,29,29,35,29,7,11,28,31,77,90,46,53,31,38
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",4721,579,2894,610,1827,256,4220,609,2639,625,1581,271,233,116,83,68,150,99,81,54,24,27,57,51,128,105,104,81,24,39,59,66,44,66,15,22
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",2302,293,1286,223,1016,174,2034,266,1099,214,935,157,231,152,166,136,65,48,16,28,0,132,16,28,5,10,5,10,0,132,16,27,16,27,0,132
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",4669,429,2681,355,1988,240,4447,455,2522,345,1925,250,174,150,137,122,37,42,30,24,14,16,16,18,0,132,0,132,0,132,18,23,8,10,10,13
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",4505,469,2397,403,2108,241,3931,524,2054,395,1877,269,476,248,265,185,211,141,0,132,0,132,0,132,13,20,13,20,0,132,85,95,65,78,20,32
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",2616,480,1218,252,1398,272,2214,478,990,225,1224,287,325,236,169,138,156,104,70,69,59,62,11,19,7,13,0,132,7,13,0,132,0,132,0,132
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",3195,367,1772,294,1423,246,2812,427,1502,317,1310,242,195,101,152,78,43,38,78,65,20,32,58,45,110,114,98,113,12,19,0,132,0,132,0,132
